experiment_id	timestamp	score	metrics	kept	commit_sha	notes
exp_001	2026-03-27T10:29:59.837978+00:00	0.113285	{}	yes	f00bb9dabf4a956ce45efcdae9042e4516ff23e4	Join OCR lines into paragraphs with space separator and resolve end-of-line hyphenation. CER improved from 0.1107 to 0.0952.
exp_002	2026-03-27T10:34:13.733165+00:00	0.860388	{}	no	reverted	VNDetectDocumentSegmentationRequest + crop to detected region. Score regressed massively - document segmentation crops incorrectly on book pages.
exp_003	2026-03-27T10:35:52.195044+00:00	0.105638	{}	yes	85c7c66b9d995a73e729b93443386561cc3a8e63	Add page number extraction from top/bottom 15% margin observations. Page number accuracy: 0.0 -> 0.382.
exp_004	2026-03-27T10:39:33.022389+00:00	0.095244	{}	yes	3a09d92d463a14e58f9864b2b1735d02f70b45fd	Filter facing-page text by keeping only the dominant text column (left/right side). CER improved from 0.0952 to 0.0846.
exp_005	2026-03-27T10:43:05.830794+00:00	0.035734	{}	yes	d0d4d03447a3d7697e5e5ff08edf1ffae136e088	Improved facing-page filter using body column overlap detection instead of simple left/right split. CER improved from 0.0846 to 0.0239.
exp_006	2026-03-27T10:46:07.549858+00:00	0.032205	{}	yes	09e5bc88f27587587b8a548bde4639ba5aae1b7d	Improved page number extraction to parse numbers from running headers/footers (not just standalone). Page accuracy: 0.382 -> 0.559.
exp_007	2026-03-27T11:03:48.329774+00:00	0.028470	{}	yes	dd3e6f2eb37a798b8a8a09bfc05c6f07d97c26b3	Filter running headers/footers from body text. Remove short lines in top/bottom 10% margin that are narrower than 70% of median line width. CER improved from 0.0239 to 0.0200.
exp_008	2026-03-27T11:37:31.722988+00:00	0.031305	{}	no	reverted	Sort observations by descending Y for top-to-bottom reading order. Score regressed from 0.0285 to 0.0313 - naive Y-sorting breaks reading order for some pages.
exp_009	2026-03-27T12:07:14.503405+00:00	0.027882	{}	yes	4fcb7cf21f88034d03cf3b361692152057702f1f	Improved page number extraction: parse numbers with attached punctuation (e.g. 86•), prefer header-embedded numbers over small standalone numbers (footnote markers). Page accuracy: 0.559 -> 0.588.
exp_011	2026-03-27T12:16:10.085296+00:00	0.027882	{}	no	reverted	Set recognitionLanguages to en/fr/it/de. No change - Vision auto-detects language already.
exp_012	2026-03-27T12:18:41.158668+00:00	0.026499	{}	yes	1070d2e39401cc07163bb5f39b366ca45cf119c6	Add CIColorControls contrast enhancement (contrast=1.1, brightness=0.02) before OCR. CER: 0.0200->0.0192, page accuracy: 0.588->0.618.
exp_013	2026-03-27T12:22:09.634611+00:00	0.024734	{}	yes	0ecba74be4109fc0e619a2e170f6877f2a25774f	Widen page number margin threshold from 15% to 20%. Page accuracy: 0.618->0.706 (+3 correct). CER unchanged.
exp_017	2026-03-27T12:36:22.857325+00:00	0.026369	{}	no	reverted	Paragraph break detection using vertical gaps between observations. CER regressed - gap thresholds not well-calibrated across book formats.
exp_018	2026-03-27T12:38:34.377007+00:00	0.024584	{}	yes	4a95fb5de28dcdb7dcd5cedc8ed9800189623c3b	Add colon to sentence enders for dialogue paragraph breaks. CER: 0.0192->0.0191. Helps with dialogue-heavy Italian/French text.
